date,platform,campaign_name,objective,ad_id,ad_name,state,region,device,age_group,gender,impressions,reach,link_clicks,spend_inr,conversions,revenue_inr,likes,comments,shares,saves,video_plays
2025-06-01,Facebook,Summer Sale,Conversions,AD1001,Static Image 4,Tamil Nadu,South,Desktop,18-24,Male,77073.0,51012.0,415.0,7750.0,15.0,23236.0,1074.0,146.0,77.0,148.0,1481.0
2025-06-01,Facebook,Summer Sale,Conversions,AD1002,Carousel 4,Rajasthan,North,Desktop,18-24,Male,65795.0,24250.0,392.0,5500.0,12.0,24669.0,851.0,154.0,57.0,97.0,1288.0
2025-06-01,Facebook,Summer Sale,Conversions,AD1003,Stories 2,Uttar Pradesh,North,Mobile,35-44,Female,21979.0,11109.0,353.0,1644.0,13.0,22048.0,504.0,75.0,51.0,77.0,799.0
2025-06-01,Facebook,Monsoon Launch,Traffic,AD1004,Carousel 4,West Bengal,East,Desktop,35-44,Male,32563.0,20108.0,473.0,2555.0,0.0,0.0,411.0,63.0,39.0,50.0,641.0
2025-06-01,Facebook,Clearance Event,Conversions,AD1005,Short Video 1,Gujarat,West,Desktop,18-24,Female,104115.0,62818.0,1255.0,9183.0,54.0,61615.0,2183.0,374.0,186.0,275.0,13644.0
2025-06-01,Facebook,Summer Sale,Conversions,AD1006,Short Video 2,Karnataka,South,Desktop,18-24,Female,42509.0,19195.0,605.0,3156.0,25.0,44431.0,772.0,128.0,58.0,107.0,5306.0
2025-06-01,Facebook,Summer Sale,Conversions,AD1007,Short Video 1,West Bengal,East,Mobile,55+,Male,70343.0,27160.0,886.0,6641.0,33.0,60010.0,1279.0,215.0,96.0,193.0,9011.0
2025-06-01,Facebook,Brand Awareness,Engagement,AD1008,Carousel 4,Rajasthan,North,Mobile,35-44,Male,71327.0,53388.0,766.0,4915.0,13.0,19879.0,1174.0,164.0,99.0,160.0,1676.0
2025-06-01,Facebook,Brand Awareness,Engagement,AD1009,Stories 5,Karnataka,South,Mobile,45-54,Male,68543.0,43756.0,950.0,3446.0,7.0,16461.0,960.0,158.0,66.0,140.0,1485.0
2025-06-01,Facebook,Brand Awareness,Engagement,AD1010,Static Image 3,Kerala,South,Desktop,25-34,Female,118374.0,87201.0,744.0,6295.0,10.0,17500.0,269.0,43.0,28.0,41.0,391.0
2025-06-01,Facebook,Monsoon Launch,Traffic,AD1011,Carousel 4,Uttar Pradesh,North,Mobile,18-24,Male,53304.0,20396.0,724.0,3411.0,19.0,16716.0,961.0,156.0,75.0,115.0,1396.0
2025-06-01,Facebook,Brand Awareness,Engagement,AD1012,Stories 3,Tamil Nadu,South,Mobile,45-54,Female,72547.0,29406.0,635.0,3589.0,3.0,2126.0,1664.0,271.0,113.0,221.0,2436.0
2025-06-01,Facebook,Brand Awareness,Engagement,AD1013,Short Video 1,Karnataka,South,Mobile,45-54,Female,44093.0,28798.0,673.0,3373.0,0.0,0.0,810.0,127.0,57.0,92.0,5535.0
2025-06-01,Facebook,Monsoon Launch,Traffic,AD1014,Carousel 5,West Bengal,East,Desktop,45-54,Female,122771.0,73708.0,1604.0,8995.0,10.0,12839.0,1462.0,253.0,125.0,186.0,2175.0
2025-06-01,Instagram,Brand Awareness,Engagement,AD1015,Stories 1,Kerala,South,Mobile,35-44,Female,93817.0,54170.0,1955.0,5486.0,16.0,35724.0,1822.0,314.0,160.0,246.0,2628.0
2025-06-01,Instagram,Clearance Event,Conversions,AD1016,Stories 5,Gujarat,West,Mobile,55+,Male,62828.0,45879.0,1312.0,4960.0,79.0,106057.0,492.0,59.0,40.0,70.0,719.0
2025-06-01,Instagram,Summer Sale,Conversions,AD1017,Stories 4,Tamil Nadu,South,Mobile,18-24,Male,42460.0,30008.0,734.0,2552.0,47.0,90417.0,494.0,89.0,47.0,80.0,808.0
2025-06-01,Instagram,Summer Sale,Conversions,AD1018,Short Video 4,Delhi,North,Desktop,25-34,Male,27177.0,16569.0,386.0,2413.0,32.0,66097.0,211.0,39.0,19.0,30.0,3094.0
2025-06-01,Instagram,Summer Sale,Conversions,AD1019,Short Video 1,Karnataka,South,Desktop,35-44,Male,90010.0,45707.0,1162.0,6153.0,58.0,90696.0,1285.0,218.0,115.0,153.0,10951.0
2025-06-01,Instagram,Clearance Event,Conversions,AD1020,Short Video 2,Kerala,South,Desktop,18-24,Female,68796.0,47911.0,1335.0,4869.0,82.0,97124.0,737.0,144.0,76.0,125.0,7984.0
2025-06-01,Instagram,Monsoon Launch,Traffic,AD1021,Carousel 3,Uttar Pradesh,North,Mobile,45-54,Male,62322.0,38554.0,1331.0,3475.0,26.0,25081.0,70.0,8.0,1.0,8.0,89.0
2025-06-01,Instagram,Monsoon Launch,Traffic,AD1022,Static Image 3,Gujarat,West,Mobile,25-34,Female,43372.0,24677.0,872.0,2355.0,10.0,25278.0,68.0,11.0,4.0,11.0,115.0
2025-06-02,Facebook,Brand Awareness,Engagement,AD1023,Short Video 3,West Bengal,East,Mobile,18-24,Male,79489.0,49966.0,1296.0,5407.0,13.0,15867.0,580.0,90.0,47.0,83.0,8792.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1024,Static Image 3,Tamil Nadu,South,Mobile,45-54,Female,100703.0,46399.0,1573.0,7140.0,57.0,111156.0,119.0,27.0,10.0,17.0,180.0
2025-06-02,Facebook,Clearance Event,Conversions,AD1025,Carousel 5,Karnataka,South,Mobile,18-24,Male,45506.0,29349.0,533.0,3076.0,22.0,21674.0,325.0,46.0,23.0,53.0,456.0
2025-06-02,Facebook,Brand Awareness,Engagement,AD1026,Carousel 4,Uttar Pradesh,North,Desktop,55+,Female,99330.0,43718.0,903.0,4691.0,10.0,8061.0,1739.0,301.0,158.0,263.0,2567.0
2025-06-02,Facebook,Brand Awareness,Engagement,AD1027,Static Image 1,Delhi,North,Desktop,25-34,Female,37817.0,17602.0,205.0,2537.0,0.0,0.0,240.0,30.0,26.0,23.0,332.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1028,Carousel 3,Telangana,South,Mobile,25-34,Female,43650.0,31453.0,653.0,3006.0,10.0,18231.0,541.0,71.0,49.0,71.0,836.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1029,Static Image 5,Tamil Nadu,South,Mobile,35-44,Male,84470.0,34270.0,1404.0,6312.0,6.0,10674.0,115.0,20.0,5.0,17.0,145.0
2025-06-02,Facebook,Summer Sale,Conversions,AD1030,Stories 1,Gujarat,West,Mobile,25-34,Male,65402.0,33589.0,1226.0,6487.0,60.0,113288.0,756.0,129.0,61.0,88.0,1096.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1031,Stories 4,Uttar Pradesh,North,Mobile,35-44,Female,88186.0,45826.0,1599.0,5800.0,18.0,29717.0,649.0,105.0,59.0,87.0,1025.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1032,Stories 3,West Bengal,East,Desktop,18-24,Male,108553.0,63075.0,1851.0,6464.0,26.0,44376.0,2396.0,395.0,200.0,315.0,3472.0
2025-06-02,Facebook,Brand Awareness,Engagement,AD1033,Static Image 5,Delhi,North,Desktop,25-34,Female,34397.0,18275.0,60.0,2528.0,2.0,2639.0,179.0,35.0,8.0,21.0,264.0
2025-06-02,Facebook,Summer Sale,Conversions,AD1034,Carousel 1,Delhi,North,Desktop,35-44,Male,66138.0,38213.0,719.0,5912.0,40.0,60578.0,729.0,105.0,63.0,113.0,1147.0
2025-06-02,Facebook,Monsoon Launch,Traffic,AD1035,Stories 2,Uttar Pradesh,North,Desktop,18-24,Male,64541.0,47074.0,988.0,4396.0,2.0,2845.0,1074.0,157.0,87.0,118.0,1518.0
2025-06-02,Instagram,Monsoon Launch,Traffic,AD1036,Static Image 5,Karnataka,South,Desktop,35-44,Female,78847.0,50310.0,984.0,3863.0,25.0,50502.0,603.0,108.0,59.0,95.0,933.0
2025-06-02,Instagram,Summer Sale,Conversions,AD1037,Carousel 3,Uttar Pradesh,North,Mobile,55+,Female,63559.0,35970.0,877.0,4299.0,33.0,47557.0,39.0,9.0,7.0,7.0,51.0
2025-06-02,Instagram,Monsoon Launch,Traffic,AD1038,Static Image 5,Delhi,North,Desktop,25-34,Female,133454.0,81875.0,2183.0,7744.0,33.0,41580.0,2204.0,382.0,195.0,318.0,3349.0
2025-06-02,Instagram,Monsoon Launch,Traffic,AD1039,Stories 1,Delhi,North,Mobile,55+,Male,92316.0,47246.0,2280.0,5271.0,4.0,6441.0,1341.0,224.0,114.0,185.0,2023.0
2025-06-02,Instagram,Brand Awareness,Engagement,AD1040,Static Image 3,Delhi,North,Desktop,18-24,Male,70980.0,45633.0,842.0,3840.0,2.0,1711.0,190.0,39.0,18.0,20.0,263.0
